frame,track_id,x,y
0,-1,730911.4043868785,222011.9919578717
0,-1,730916.7379037198,221998.67755689943
0,-1,730901.5571839927,222000.08816761148
0,-1,730909.51696054,222012.77245441225
0,-1,730908.4725352463,222013.2783980788
0,-1,730914.6731535493,222003.70223491988
0,-1,730914.219075693,222000.09589687263
0,-1,730915.5442864293,222006.9161927006
0,-1,730900.3998379095,222013.5253890861
0,-1,730902.3905756305,222001.87556911583
0,-1,730900.5906432631,222001.79900789348
0,-1,730901.9812100203,221998.79293090585
0,-1,730913.5248503862,222011.99985547012
0,-1,730908.1856065982,222004.7133952013
0,-1,730910.5973965767,222001.5986049917
0,-1,730918.0045695909,221998.01272559917
0,-1,730908.7009751757,222003.1208612985
0,-1,730902.0698477351,222001.1338423973
0,-1,730911.9984946817,222002.7931489702
0,-1,730915.8917173271,221999.7598098183
0,-1,730910.2793777518,222001.06565156343
0,-1,730916.1134090236,221999.13451091797
0,-1,730904.7565778662,221998.5961699751
0,-1,730915.0755654593,221998.2054788643
0,-1,730918.5030133758,221996.19369750356
0,-1,730912.6708242912,221999.8055694568
0,-1,730912.2601036618,222010.9309697674
0,-1,730919.8350948024,221996.72838521845
0,-1,730906.4741047843,222001.42675249884
0,-1,730918.7039598951,221995.6804950552
0,-1,730914.6301143247,221997.7663087973
0,-1,730916.4327250271,221997.2803403581
0,-1,730918.9574711893,221998.02708011837
0,-1,730910.2176843244,222003.8562773328
0,-1,730912.546635412,221998.93032507563
0,-1,730908.8323159621,222004.14101058204
0,-1,730915.5535844894,221996.9627757187
0,-1,730917.4545987739,221999.53987277407
0,-1,730919.4369810068,222003.28768288324
0,-1,730902.5461826111,221998.17352835296
0,-1,730912.342970626,221999.57793351408
0,-1,730901.6996967298,221997.3677082116
0,-1,730917.4534409936,221999.5408763945
0,-1,730916.2061021157,221998.0660961464
0,-1,730914.6843271942,221999.0274317032
0,-1,730918.964305578,221998.0296222172
0,-1,730918.9661864871,222000.96614545892
0,-1,730920.3311349348,221995.6978669032
0,-1,730914.6744463717,221999.01428260253
0,-1,730910.1138514689,222003.4553112474
0,-1,730902.1227268823,221997.4950956103
0,-1,730913.518228967,222001.561121762
0,-1,730916.7083841941,222012.954076868
0,-1,730919.8719743647,222001.26149159652
0,-1,730920.0414613986,222000.3291183069
0,-1,730919.383646637,222000.6853093717
0,-1,730905.3661886479,222000.9617430787
0,-1,730916.5219563948,222012.95438751733
10,-1,730911.4091525578,222011.98805905736
10,-1,730916.5699771724,221998.77838429637
10,-1,730901.5549342592,222000.08953909524
10,-1,730909.5187344801,222012.77049880856
10,-1,730908.4768778904,222013.27620700956
10,-1,730914.3499498822,222003.99197449797
10,-1,730913.9248097574,222000.2277012133
10,-1,730915.2078476681,222006.76732557343
10,-1,730901.6118703566,222001.8891261503
10,-1,730899.9369075957,222001.78186889045
10,-1,730901.8200850693,221998.65964137635
10,-1,730913.5249379942,222012.01127926895
10,-1,730907.7667268121,222004.5883456248
10,-1,730911.3308997741,222001.1194310772
10,-1,730917.8469817507,221998.15479076584
10,-1,730909.4506713249,222002.6027512904
10,-1,730902.8092552734,222001.20783229417
10,-1,730911.7388556706,222003.02524677923
10,-1,730915.6574604227,221999.86010535213
10,-1,730910.6833811257,222000.81996573767
10,-1,730915.8977918015,221999.25466694127
10,-1,730904.7690629683,221998.58438461265
10,-1,730915.443776384,221997.97096546757
10,-1,730918.7356168614,221995.9606646225
10,-1,730913.2576030353,221999.53828028316
10,-1,730912.2713915359,222010.93079461405
10,-1,730919.6637171792,221996.95795807216
10,-1,730906.8900712427,222001.4842261372
10,-1,730918.9256854731,221995.48622064877
10,-1,730914.7227977364,221997.6836983814
10,-1,730916.6633575757,221997.06767543097
10,-1,730918.6726940183,221998.2817614524
10,-1,730909.8406603294,222003.9264299668
10,-1,730912.5394718883,221998.9398939633
10,-1,730908.5112550597,222003.93781865237
10,-1,730915.5548468184,221996.9611334495
10,-1,730917.102650016,221999.8428760873
10,-1,730902.7051228085,221998.30450402
10,-1,730912.9137161457,221999.31836203483
10,-1,730901.8979474893,221997.5585369587
10,-1,730917.1056480474,221999.8407017485
10,-1,730916.1995987978,221998.0122432045
10,-1,730919.6650579198,221996.9554791256
10,-1,730918.9847651825,222000.96008015465
10,-1,730920.1895333689,221995.87675912
10,-1,730915.0491843313,221998.74405372364
10,-1,730908.6355717207,222004.12670749347
10,-1,730913.3920251048,222001.5185756091
10,-1,730916.7100298684,222012.95981974973
10,-1,730919.8664371546,222001.2826651165
10,-1,730919.9901483041,222000.3187722795
10,-1,730905.2172193012,222001.06428586305
10,-1,730915.053602483,221998.73644322803
10,-1,730915.0570700156,221997.2223316552
10,-1,730909.5160462226,222002.84619564895
10,-1,730902.2676698932,221997.65909646187
10,-1,730918.785163276,221996.030625605
20,-1,730911.4039101169,222011.98063156396
20,-1,730916.413534528,221998.9069573882
20,-1,730901.5597500347,222000.07217619335
20,-1,730909.5156711057,222012.77209501737
20,-1,730908.4819334989,222013.2757517761
20,-1,730913.9924000233,222004.2744671062
20,-1,730913.6491878601,222000.3086387908
20,-1,730914.9404681793,222006.60878700708
20,-1,730900.8865056238,222001.8443083741
20,-1,730901.6699028846,221998.5048187255
20,-1,730913.5244060542,222012.00849747023
20,-1,730907.3356525791,222004.39093912588
20,-1,730912.029707316,222000.6396114913
20,-1,730917.6667833129,221998.3133779744
20,-1,730910.123413321,222001.9682384564
20,-1,730903.4914429563,222001.29600857952
20,-1,730911.4585092359,222003.27331865623
20,-1,730915.4436640909,221999.92911184704
20,-1,730911.0947000061,222000.5664932302
20,-1,730915.6743372973,221999.3956263492
20,-1,730904.8284899633,221998.57705915437
20,-1,730915.8000561695,221997.74737953293
20,-1,730919.0314152102,221995.82230679944
20,-1,730913.8138119262,221999.20765127972
20,-1,730912.2719307363,222010.9077454248
20,-1,730919.4987770468,221997.17369324333
20,-1,730907.355591376,222001.53736452365
20,-1,730919.1477982687,221995.31665018405
20,-1,730914.7862229941,221997.62333729467
20,-1,730916.9171554109,221996.89926347244
20,-1,730918.3883147134,221998.53911139647
20,-1,730909.4809827104,222003.7479924929
20,-1,730912.5530191765,221998.9415853911
20,-1,730908.1518015427,222003.8149803868
20,-1,730915.555591244,221996.94389798824
20,-1,730916.7476277192,222000.1607416166
20,-1,730902.8755377122,221998.43276832148
20,-1,730913.4844466606,221999.04503998495
20,-1,730902.0914075213,221997.62452329765
20,-1,730916.7480826997,222000.1657981368
20,-1,730918.9420212113,222001.003520044
20,-1,730920.0708473343,221996.02120605207
20,-1,730915.43873094,221998.46875603488
20,-1,730902.4351692913,221997.8070142909
20,-1,730916.7132263489,222012.94780439523
20,-1,730919.866178687,222001.25270397955
20,-1,730919.9618523857,222000.3167109229
20,-1,730919.3845962879,222000.67985256005
20,-1,730905.1206695228,222001.07796393504
20,-1,730916.6175594263,222012.9577377382
20,-1,730915.4333641055,221998.46772205175
20,-1,730904.3982199327,221998.42765747893
20,-1,730908.3283083457,222004.003873772
20,-1,730909.1162247977,222003.02886324143
20,-1,730913.3174073254,222001.51432173737
20,-1,730907.9140921105,222003.7345197304
20,-1,730919.3342163876,222000.69155871103
20,-1,730918.2026390841,222009.38171774417
