frame,x1,y1,x2,y2,class_name
0,787.5336914,568.2329712,916.2425537,687.5667725,auto
0,1165.773804,112.7273712,1210.558838,159.4709167,auto
0,201.5503693,162.6943665,260.4935303,213.7127991,auto
0,669.052002,599.1838379,796.7198486,714.2750244,auto
0,601.9777832,631.4344482,732.0919189,719.4009399,auto
0,1023.692017,285.225769,1092.275635,358.1706238,auto
0,1011.145325,164.4456787,1047.563232,212.5324707,bike
0,1076.050781,406.5670776,1149.766846,474.2604065,bike
0,117.5255203,649.0819092,198.5770416,720.0,bike
0,257.8902588,231.1963654,309.2443848,277.2550659,bike
0,145.7408905,228.0344543,194.4222717,274.7610168,bike
0,247.2283936,121.8344879,268.2852173,158.8870544,bike
0,925.8007813,572.6207886,1045.365967,683.7622681,auto
0,607.8447266,324.2595825,690.043335,393.8363037,auto
0,782.3499756,219.3066254,819.6647949,268.6841431,bike
0,1238.692871,90.08319855,1297.366333,133.0007019,car
0,658.5513306,269.3075562,704.324646,331.1398315,bike
0,243.01651,206.1733704,283.6743164,247.4830322,bike
0,848.3549805,242.5733948,930.3382568,333.6642456,auto
0,1117.146973,154.4944458,1152.481689,197.655304,bike
0,764.1625366,201.1985474,797.75,247.4202728,bike
0,1132.82959,132.4954529,1164.754395,173.4603119,bike
0,406.3866577,111.6897964,459.1008911,154.4960327,auto
0,1069.985229,102.1807709,1096.726563,135.1427612,bike
0,912.5953369,155.5424347,950.8786011,199.9877777,bike
0,868.9002686,550.5401611,942.7818604,626.8789673,bike
0,1361.929321,45.79069138,1404.959106,82.41255188,car
0,517.210083,215.4342804,564.8575439,259.8608093,bike
0,1303.967285,12.20917225,1320.285034,38.58117676,bike
0,1037.432251,83.13522339,1073.108154,121.7446136,auto
0,1159.061768,68.16092682,1178.787964,100.8179932,bike
0,1300.38269,87.85623169,1355.837402,136.2881165,car
0,749.3701172,289.751709,804.7628784,365.0245361,bike
0,900.2087402,122.8335571,947.6049805,168.0379944,auto
0,659.9538574,304.0326538,719.4841919,371.7782593,bike
0,1089.386719,56.3744545,1137.603271,89.14439392,car
0,1198.338745,143.3009949,1268.369019,192.6008759,car
0,1327.375244,279.5184937,1389.311279,333.2528381,bike
0,268.4125061,98.02125549,318.3441467,136.9419556,car
0,898.4855957,148.110672,923.6461182,190.6029358,bike
0,231.0476379,72.30872345,248.9671631,103.1244965,bike
0,1018.203613,123.4200439,1099.173096,174.6252441,car
0,1399.317627,11.70940876,1430.12146,40.36428833,car
0,742.3308716,286.8521729,798.7090454,338.3026733,bike
0,258.4706421,77.7434845,274.8882751,107.1004791,bike
0,974.1541748,223.1202087,996.1774902,262.1014709,pedestrian
0,1172.166016,635.4169922,1200.444214,691.4592285,pedestrian
0,1377.042358,208.0447235,1394.496582,255.0417938,pedestrian
0,1386.653076,176.442337,1406.258301,217.7650146,pedestrian
0,1347.452637,188.6648254,1362.508301,231.8562012,pedestrian
0,462.1651917,202.8550873,480.1942139,238.0874786,pedestrian
80,787.4321899,568.8441162,915.616394,687.4840088,auto
80,1056.911743,144.239212,1113.840088,194.5154724,auto
80,200.8857422,162.0339661,260.5305176,213.8844604,auto
80,669.1116333,599.3875122,796.3153076,714.4737549,auto
80,601.836853,631.2235107,731.5827637,719.2131958,auto
80,775.991333,403.7848511,862.9248047,498.4786377,auto
80,842.6580811,193.771698,893.0249023,239.9221497,bike
80,982.2409668,374.0209656,1044.289063,438.2664795,bike
80,925.776001,572.8502808,1045.065796,684.3317261,auto
80,1094.821045,104.2217941,1122.058228,142.8849182,bike
